t,V,I,R
0,0.003,0.997,0
1,0.005,0.995,0
2,0.203,0.797,0
3,0.154,0.846,0
4,0.157,0.843,0
5,0.17,0.83,0
6,0.169,0.831,0
7,0.185,0.815,0
8,0.175,0.825,0
9,0.181,0.819,0
10,0.159,0.841,0
11,0.16,0.84,0
12,0.157,0.843,0
13,0.144,0.856,0
14,0.16,0.84,0
15,0.175,0.825,0
16,0.151,0.849,0
17,0.178,0.822,0
18,0.147,0.853,0
19,0.174,0.826,0
20,0.158,0.842,0
21,0.146,0.854,0
22,0.197,0.803,0
23,0.161,0.839,0
24,0.148,0.852,0
25,0.185,0.815,0
26,0.158,0.842,0
27,0.19,0.81,0
28,0.168,0.832,0
29,0.182,0.818,0
30,0.173,0.827,0
31,0.183,0.817,0
32,0.152,0.848,0
33,0.175,0.825,0
34,0.197,0.803,0
35,0.154,0.846,0
36,0.155,0.845,0
37,0.161,0.839,0
38,0.165,0.835,0
39,0.19,0.81,0
40,0.185,0.815,0
41,0.158,0.842,0
42,0.155,0.845,0
43,0.168,0.832,0
44,0.152,0.848,0
45,0.17,0.83,0
46,0.146,0.854,0
47,0.184,0.816,0
48,0.183,0.817,0
49,0.162,0.838,0
50,0.166,0.834,0
51,0.145,0.855,0
52,0.186,0.814,0
53,0.148,0.852,0
54,0.181,0.819,0
55,0.175,0.825,0
56,0.161,0.839,0
57,0.18,0.82,0
58,0.164,0.836,0
59,0.162,0.838,0
60,0.178,0.822,0
61,0.162,0.838,0
62,0.161,0.839,0
63,0.171,0.829,0
64,0.169,0.831,0
65,0.17,0.83,0
66,0.171,0.829,0
67,0.185,0.815,0
68,0.185,0.815,0
69,0.169,0.831,0
70,0.173,0.827,0
71,0.171,0.829,0
72,0.171,0.829,0
73,0.143,0.857,0
74,0.173,0.827,0
75,0.149,0.851,0
76,0.167,0.833,0
77,0.162,0.838,0
78,0.17,0.83,0
79,0.163,0.837,0
80,0.177,0.823,0
81,0.167,0.833,0
82,0.166,0.834,0
83,0.166,0.834,0
84,0.174,0.826,0
85,0.154,0.846,0
86,0.175,0.825,0
87,0.174,0.826,0
88,0.163,0.837,0
89,0.15,0.85,0
90,0.166,0.834,0
91,0.186,0.814,0
92,0.156,0.844,0
93,0.18,0.82,0
94,0.189,0.811,0
95,0.155,0.845,0
96,0.153,0.847,0
97,0.163,0.837,0
98,0.173,0.827,0
99,0.161,0.839,0
100,0.167,0.833,0
101,0.159,0.841,0
102,0.176,0.824,0
103,0.177,0.823,0
104,0.179,0.821,0
105,0.178,0.822,0
106,0.171,0.829,0
107,0.153,0.847,0
108,0.16,0.84,0
109,0.18,0.82,0
110,0.182,0.818,0
111,0.16,0.84,0
112,0.152,0.848,0
113,0.182,0.818,0
114,0.16,0.84,0
115,0.16,0.84,0
116,0.171,0.829,0
117,0.179,0.821,0
118,0.157,0.843,0
119,0.178,0.822,0
120,0.157,0.843,0
121,0.159,0.841,0
122,0.159,0.841,0
123,0.166,0.834,0
124,0.164,0.836,0
125,0.174,0.826,0
126,0.177,0.823,0
127,0.166,0.834,0
128,0.187,0.813,0
129,0.165,0.835,0
130,0.157,0.843,0
131,0.169,0.831,0
132,0.174,0.826,0
133,0.153,0.847,0
134,0.178,0.822,0
135,0.157,0.843,0
136,0.155,0.845,0
137,0.16,0.84,0
138,0.169,0.831,0
139,0.162,0.838,0
140,0.175,0.825,0
141,0.146,0.854,0
142,0.167,0.833,0
143,0.158,0.842,0
144,0.178,0.822,0
145,0.158,0.842,0
146,0.174,0.826,0
147,0.168,0.832,0
148,0.15,0.85,0
149,0.17,0.83,0
150,0.164,0.836,0
151,0.16,0.84,0
152,0.173,0.827,0
153,0.156,0.844,0
154,0.154,0.846,0
155,0.179,0.821,0
156,0.185,0.815,0
157,0.161,0.839,0
158,0.181,0.819,0
159,0.173,0.827,0
160,0.169,0.831,0
161,0.165,0.835,0
162,0.161,0.839,0
163,0.16,0.84,0
164,0.161,0.839,0
165,0.167,0.833,0
166,0.157,0.843,0
167,0.181,0.819,0
168,0.183,0.817,0
169,0.178,0.822,0
170,0.153,0.847,0
171,0.183,0.817,0
172,0.17,0.83,0
173,0.159,0.841,0
174,0.189,0.811,0
175,0.152,0.848,0
176,0.179,0.821,0
177,0.158,0.842,0
178,0.172,0.828,0
179,0.163,0.837,0
180,0.159,0.841,0
181,0.163,0.837,0
182,0.189,0.811,0
183,0.185,0.815,0
184,0.151,0.849,0
185,0.188,0.812,0
186,0.154,0.846,0
187,0.156,0.844,0
188,0.174,0.826,0
189,0.146,0.854,0
190,0.165,0.835,0
191,0.164,0.836,0
192,0.171,0.829,0
193,0.167,0.833,0
194,0.177,0.823,0
195,0.162,0.838,0
196,0.154,0.846,0
197,0.187,0.813,0
198,0.159,0.841,0
199,0.174,0.826,0
200,0.164,0.836,0
201,0.142,0.858,0
202,0.142,0.858,0
203,0.157,0.843,0
204,0.158,0.842,0
205,0.154,0.846,0
206,0.165,0.835,0
207,0.171,0.829,0
208,0.181,0.819,0
209,0.156,0.844,0
210,0.157,0.843,0
211,0.161,0.839,0
212,0.166,0.834,0
213,0.168,0.832,0
214,0.162,0.838,0
215,0.169,0.831,0
216,0.182,0.818,0
217,0.175,0.825,0
218,0.177,0.823,0
219,0.149,0.851,0
220,0.176,0.824,0
221,0.167,0.833,0
222,0.154,0.846,0
223,0.144,0.856,0
224,0.166,0.834,0
225,0.171,0.829,0
226,0.166,0.834,0
227,0.178,0.822,0
228,0.171,0.829,0
229,0.164,0.836,0
230,0.181,0.819,0
231,0.155,0.845,0
232,0.176,0.824,0
233,0.17,0.83,0
234,0.174,0.826,0
235,0.182,0.818,0
236,0.182,0.818,0
237,0.155,0.845,0
