t,V,I,R
0,0.83,0.17,0
1,0.233,0.767,0
2,0.083,0.917,0
3,0.164,0.836,0
4,0.166,0.834,0
5,0.191,0.809,0
6,0.179,0.821,0
7,0.198,0.802,0
8,0.174,0.826,0
9,0.198,0.802,0
10,0.202,0.798,0
11,0.182,0.818,0
12,0.157,0.843,0
13,0.167,0.833,0
14,0.206,0.794,0
15,0.19,0.81,0
16,0.175,0.825,0
17,0.184,0.816,0
18,0.183,0.817,0
19,0.173,0.827,0
20,0.171,0.829,0
21,0.178,0.822,0
22,0.188,0.812,0
23,0.198,0.802,0
24,0.176,0.824,0
25,0.171,0.829,0
26,0.19,0.81,0
27,0.183,0.817,0
28,0.18,0.82,0
29,0.181,0.819,0
30,0.193,0.807,0
31,0.184,0.816,0
32,0.167,0.833,0
33,0.184,0.816,0
34,0.173,0.827,0
35,0.194,0.806,0
36,0.179,0.821,0
37,0.197,0.803,0
38,0.173,0.827,0
39,0.181,0.819,0
40,0.155,0.845,0
41,0.182,0.818,0
42,0.199,0.801,0
43,0.2,0.8,0
44,0.188,0.812,0
45,0.181,0.819,0
46,0.173,0.827,0
47,0.168,0.832,0
48,0.176,0.824,0
49,0.165,0.835,0
50,0.176,0.824,0
51,0.189,0.811,0
52,0.175,0.825,0
53,0.179,0.821,0
54,0.201,0.799,0
55,0.187,0.813,0
56,0.201,0.799,0
57,0.179,0.821,0
58,0.179,0.821,0
59,0.185,0.815,0
60,0.166,0.834,0
61,0.165,0.835,0
62,0.171,0.829,0
63,0.185,0.815,0
64,0.182,0.818,0
65,0.167,0.833,0
66,0.167,0.833,0
67,0.19,0.81,0
68,0.166,0.834,0
69,0.193,0.807,0
70,0.193,0.807,0
71,0.189,0.811,0
72,0.175,0.825,0
73,0.176,0.824,0
74,0.162,0.838,0
75,0.19,0.81,0
76,0.176,0.824,0
77,0.195,0.805,0
78,0.196,0.804,0
79,0.171,0.829,0
80,0.187,0.813,0
81,0.18,0.82,0
82,0.202,0.798,0
83,0.176,0.824,0
84,0.17,0.83,0
85,0.187,0.813,0
86,0.182,0.818,0
87,0.184,0.816,0
88,0.178,0.822,0
89,0.188,0.812,0
90,0.178,0.822,0
91,0.194,0.806,0
92,0.163,0.837,0
93,0.169,0.831,0
94,0.159,0.841,0
95,0.194,0.806,0
96,0.181,0.819,0
97,0.204,0.796,0
98,0.175,0.825,0
99,0.165,0.835,0
100,0.202,0.798,0
101,0.198,0.802,0
102,0.187,0.813,0
103,0.172,0.828,0
104,0.173,0.827,0
105,0.173,0.827,0
106,0.177,0.823,0
107,0.179,0.821,0
108,0.163,0.837,0
109,0.184,0.816,0
110,0.165,0.835,0
111,0.195,0.805,0
112,0.17,0.83,0
113,0.189,0.811,0
114,0.164,0.836,0
115,0.191,0.809,0
116,0.194,0.806,0
117,0.176,0.824,0
118,0.173,0.827,0
119,0.176,0.824,0
120,0.181,0.819,0
121,0.187,0.813,0
122,0.183,0.817,0
123,0.177,0.823,0
124,0.181,0.819,0
125,0.166,0.834,0
126,0.17,0.83,0
127,0.195,0.805,0
128,0.18,0.82,0
129,0.177,0.823,0
130,0.174,0.826,0
131,0.19,0.81,0
132,0.214,0.786,0
133,0.186,0.814,0
134,0.163,0.837,0
135,0.169,0.831,0
136,0.172,0.828,0
137,0.181,0.819,0
138,0.179,0.821,0
139,0.174,0.826,0
140,0.196,0.804,0
141,0.181,0.819,0
142,0.175,0.825,0
143,0.169,0.831,0
144,0.194,0.806,0
145,0.163,0.837,0
146,0.178,0.822,0
147,0.196,0.804,0
148,0.18,0.82,0
149,0.179,0.821,0
150,0.207,0.793,0
151,0.177,0.823,0
152,0.172,0.828,0
153,0.19,0.81,0
154,0.154,0.846,0
155,0.186,0.814,0
156,0.162,0.838,0
157,0.163,0.837,0
158,0.184,0.816,0
159,0.163,0.837,0
160,0.17,0.83,0
161,0.174,0.826,0
162,0.212,0.788,0
163,0.177,0.823,0
164,0.18,0.82,0
165,0.171,0.829,0
166,0.212,0.788,0
167,0.183,0.817,0
168,0.183,0.817,0
169,0.184,0.816,0
170,0.181,0.819,0
171,0.161,0.839,0
172,0.187,0.813,0
173,0.192,0.808,0
174,0.18,0.82,0
175,0.165,0.835,0
176,0.181,0.819,0
177,0.181,0.819,0
178,0.206,0.794,0
179,0.169,0.831,0
180,0.177,0.823,0
181,0.195,0.805,0
182,0.193,0.807,0
183,0.163,0.837,0
184,0.185,0.815,0
185,0.162,0.838,0
186,0.185,0.815,0
187,0.189,0.811,0
188,0.2,0.8,0
189,0.167,0.833,0
190,0.17,0.83,0
191,0.177,0.823,0
192,0.174,0.826,0
193,0.171,0.829,0
194,0.166,0.834,0
195,0.198,0.802,0
196,0.178,0.822,0
197,0.186,0.814,0
198,0.173,0.827,0
199,0.182,0.818,0
200,0.184,0.816,0
201,0.182,0.818,0
202,0.18,0.82,0
203,0.192,0.808,0
204,0.165,0.835,0
205,0.205,0.795,0
206,0.161,0.839,0
207,0.174,0.826,0
208,0.154,0.846,0
209,0.19,0.81,0
210,0.174,0.826,0
211,0.187,0.813,0
212,0.179,0.821,0
213,0.168,0.832,0
214,0.15,0.85,0
215,0.185,0.815,0
216,0.188,0.812,0
217,0.174,0.826,0
218,0.172,0.828,0
219,0.181,0.819,0
220,0.19,0.81,0
221,0.178,0.822,0
222,0.185,0.815,0
223,0.182,0.818,0
224,0.187,0.813,0
225,0.167,0.833,0
226,0.178,0.822,0
227,0.195,0.805,0
228,0.182,0.818,0
229,0.197,0.803,0
230,0.172,0.828,0
231,0.184,0.816,0
232,0.184,0.816,0
233,0.191,0.809,0
234,0.175,0.825,0
235,0.195,0.805,0
236,0.154,0.846,0
237,0.155,0.845,0
238,0.189,0.811,0
239,0.194,0.806,0
240,0.164,0.836,0
241,0.193,0.807,0
242,0.179,0.821,0
243,0.191,0.809,0
244,0.161,0.839,0
245,0.199,0.801,0
246,0.146,0.854,0
247,0.159,0.841,0
248,0.172,0.828,0
249,0.185,0.815,0
250,0.174,0.826,0
251,0.16,0.84,0
252,0.17,0.83,0
253,0.159,0.841,0
254,0.199,0.801,0
255,0.181,0.819,0
256,0.167,0.833,0
257,0.165,0.835,0
258,0.164,0.836,0
259,0.175,0.825,0
260,0.172,0.828,0
261,0.166,0.834,0
262,0.193,0.807,0
263,0.178,0.822,0
264,0.167,0.833,0
265,0.154,0.846,0
266,0.165,0.835,0
267,0.181,0.819,0
268,0.176,0.824,0
269,0.179,0.821,0
270,0.165,0.835,0
271,0.159,0.841,0
272,0.186,0.814,0
273,0.16,0.84,0
274,0.189,0.811,0
