t,V,I,R
0,0.98828125,0.01171875,0
1,0.984375,0.015625,0
2,0.98046875,0.01953125,0
3,0.9775390625,0.0224609375,0
4,0.974609375,0.025390625,0
5,0.9814453125,0.0185546875,0
6,0.9853515625,0.0146484375,0
7,0.9873046875,0.0126953125,0
8,0.9833984375,0.0166015625,0
9,0.982421875,0.017578125,0
10,0.9814453125,0.0185546875,0
11,0.98046875,0.01953125,0
12,0.982421875,0.017578125,0
13,0.9794921875,0.0205078125,0
14,0.9794921875,0.0205078125,0
15,0.9775390625,0.0224609375,0
16,0.970703125,0.029296875,0
17,0.970703125,0.029296875,0
18,0.9736328125,0.0263671875,0
19,0.9716796875,0.0283203125,0
20,0.970703125,0.029296875,0
21,0.970703125,0.029296875,0
22,0.9765625,0.0234375,0
23,0.9775390625,0.0224609375,0
24,0.9765625,0.0234375,0
25,0.9775390625,0.0224609375,0
26,0.9775390625,0.0224609375,0
27,0.9755859375,0.0244140625,0
28,0.9775390625,0.0224609375,0
29,0.98046875,0.01953125,0
30,0.982421875,0.017578125,0
31,0.9814453125,0.0185546875,0
32,0.9775390625,0.0224609375,0
33,0.9794921875,0.0205078125,0
34,0.978515625,0.021484375,0
35,0.9814453125,0.0185546875,0
36,0.978515625,0.021484375,0
37,0.9755859375,0.0244140625,0
38,0.9736328125,0.0263671875,0
39,0.9755859375,0.0244140625,0
40,0.978515625,0.021484375,0
41,0.978515625,0.021484375,0
42,0.9794921875,0.0205078125,0
43,0.9677734375,0.0322265625,0
44,0.9658203125,0.0341796875,0
45,0.9609375,0.0390625,0
46,0.9599609375,0.0400390625,0
47,0.962890625,0.037109375,0
48,0.9638671875,0.0361328125,0
49,0.962890625,0.037109375,0
50,0.966796875,0.033203125,0
51,0.9599609375,0.0400390625,0
52,0.962890625,0.037109375,0
53,0.9609375,0.0390625,0
54,0.9638671875,0.0361328125,0
55,0.96875,0.03125,0
56,0.9638671875,0.0361328125,0
57,0.9609375,0.0390625,0
58,0.958984375,0.041015625,0
59,0.958984375,0.041015625,0
60,0.9609375,0.0390625,0
61,0.958984375,0.041015625,0
62,0.958984375,0.041015625,0
63,0.95703125,0.04296875,0
64,0.955078125,0.044921875,0
65,0.9541015625,0.0458984375,0
66,0.947265625,0.052734375,0
67,0.9453125,0.0546875,0
68,0.9482421875,0.0517578125,0
69,0.9482421875,0.0517578125,0
70,0.9453125,0.0546875,0
71,0.943359375,0.056640625,0
72,0.9423828125,0.0576171875,0
73,0.9423828125,0.0576171875,0
74,0.9384765625,0.0615234375,0
75,0.94140625,0.05859375,0
76,0.939453125,0.060546875,0
77,0.9326171875,0.0673828125,0
78,0.9296875,0.0703125,0
79,0.939453125,0.060546875,0
80,0.9375,0.0625,0
81,0.943359375,0.056640625,0
82,0.9375,0.0625,0
83,0.9375,0.0625,0
84,0.9345703125,0.0654296875,0
85,0.9296875,0.0703125,0
86,0.9365234375,0.0634765625,0
87,0.9443359375,0.0556640625,0
88,0.943359375,0.056640625,0
89,0.94921875,0.05078125,0
90,0.9453125,0.0546875,0
91,0.9462890625,0.0537109375,0
92,0.9482421875,0.0517578125,0
93,0.9501953125,0.0498046875,0
94,0.953125,0.046875,0
95,0.9521484375,0.0478515625,0
96,0.9482421875,0.0517578125,0
97,0.9384765625,0.0615234375,0
98,0.9345703125,0.0654296875,0
99,0.939453125,0.060546875,0
100,0.9443359375,0.0556640625,0
101,0.9443359375,0.0556640625,0
102,0.951171875,0.048828125,0
103,0.9453125,0.0546875,0
104,0.94921875,0.05078125,0
105,0.953125,0.046875,0
106,0.951171875,0.048828125,0
107,0.951171875,0.048828125,0
108,0.9423828125,0.0576171875,0
109,0.943359375,0.056640625,0
110,0.9404296875,0.0595703125,0
111,0.9345703125,0.0654296875,0
112,0.9345703125,0.0654296875,0
113,0.927734375,0.072265625,0
114,0.9267578125,0.0732421875,0
115,0.9345703125,0.0654296875,0
116,0.9375,0.0625,0
117,0.935546875,0.064453125,0
118,0.939453125,0.060546875,0
119,0.9345703125,0.0654296875,0
120,0.927734375,0.072265625,0
121,0.927734375,0.072265625,0
122,0.916015625,0.083984375,0
123,0.9091796875,0.0908203125,0
124,0.90625,0.09375,0
125,0.9013671875,0.0986328125,0
126,0.9091796875,0.0908203125,0
127,0.9072265625,0.0927734375,0
128,0.8974609375,0.1025390625,0
129,0.896484375,0.103515625,0
130,0.8994140625,0.1005859375,0
131,0.8984375,0.1015625,0
132,0.8984375,0.1015625,0
133,0.896484375,0.103515625,0
134,0.8896484375,0.1103515625,0
135,0.896484375,0.103515625,0
136,0.89453125,0.10546875,0
137,0.8935546875,0.1064453125,0
138,0.8935546875,0.1064453125,0
139,0.8916015625,0.1083984375,0
140,0.8818359375,0.1181640625,0
141,0.8818359375,0.1181640625,0
142,0.8828125,0.1171875,0
143,0.8759765625,0.1240234375,0
144,0.87109375,0.12890625,0
145,0.875,0.125,0
146,0.8671875,0.1328125,0
147,0.861328125,0.138671875,0
148,0.8525390625,0.1474609375,0
149,0.8603515625,0.1396484375,0
150,0.8779296875,0.1220703125,0
151,0.873046875,0.126953125,0
152,0.8740234375,0.1259765625,0
153,0.87109375,0.12890625,0
154,0.869140625,0.130859375,0
155,0.873046875,0.126953125,0
156,0.8720703125,0.1279296875,0
157,0.869140625,0.130859375,0
158,0.8720703125,0.1279296875,0
159,0.873046875,0.126953125,0
160,0.8681640625,0.1318359375,0
161,0.8720703125,0.1279296875,0
162,0.8740234375,0.1259765625,0
163,0.8740234375,0.1259765625,0
164,0.875,0.125,0
165,0.875,0.125,0
166,0.8701171875,0.1298828125,0
167,0.859375,0.140625,0
168,0.83984375,0.16015625,0
169,0.84375,0.15625,0
170,0.8359375,0.1640625,0
171,0.845703125,0.154296875,0
172,0.8447265625,0.1552734375,0
173,0.841796875,0.158203125,0
174,0.86328125,0.13671875,0
175,0.8564453125,0.1435546875,0
176,0.8515625,0.1484375,0
177,0.8515625,0.1484375,0
178,0.8466796875,0.1533203125,0
179,0.841796875,0.158203125,0
180,0.830078125,0.169921875,0
181,0.8349609375,0.1650390625,0
