t,V,I,R
0,0.989,0.011,0
1,0.915,0.085,0
2,0.845,0.155,0
3,0.8,0.2,0
4,0.754,0.246,0
5,0.725,0.275,0
6,0.719,0.281,0
7,0.697,0.303,0
8,0.697,0.303,0
9,0.692,0.308,0
10,0.694,0.306,0
11,0.668,0.332,0
12,0.671,0.329,0
13,0.663,0.337,0
14,0.692,0.308,0
15,0.735,0.265,0
16,0.711,0.289,0
17,0.696,0.304,0
18,0.691,0.309,0
19,0.686,0.314,0
20,0.728,0.272,0
21,0.715,0.285,0
22,0.687,0.313,0
23,0.663,0.337,0
24,0.637,0.363,0
25,0.635,0.365,0
26,0.653,0.347,0
27,0.645,0.355,0
28,0.657,0.343,0
29,0.681,0.319,0
30,0.678,0.322,0
31,0.679,0.321,0
32,0.674,0.326,0
33,0.661,0.339,0
34,0.66,0.34,0
35,0.668,0.332,0
36,0.734,0.266,0
37,0.711,0.289,0
38,0.69,0.31,0
39,0.662,0.338,0
40,0.666,0.334,0
41,0.673,0.327,0
42,0.671,0.329,0
43,0.669,0.331,0
44,0.677,0.323,0
45,0.664,0.336,0
46,0.674,0.326,0
47,0.679,0.321,0
48,0.736,0.264,0
49,0.729,0.271,0
50,0.72,0.28,0
51,0.704,0.296,0
52,0.763,0.237,0
53,0.738,0.262,0
54,0.707,0.293,0
55,0.709,0.291,0
56,0.763,0.237,0
57,0.721,0.279,0
58,0.702,0.298,0
59,0.698,0.302,0
60,0.685,0.315,0
61,0.757,0.243,0
62,0.714,0.286,0
63,0.686,0.314,0
64,0.745,0.255,0
65,0.709,0.291,0
66,0.69,0.31,0
67,0.689,0.311,0
68,0.671,0.329,0
69,0.665,0.335,0
70,0.661,0.339,0
71,0.676,0.324,0
72,0.671,0.329,0
73,0.652,0.348,0
74,0.673,0.327,0
75,0.671,0.329,0
76,0.661,0.339,0
77,0.726,0.274,0
78,0.701,0.299,0
79,0.686,0.314,0
80,0.676,0.324,0
81,0.669,0.331,0
82,0.663,0.337,0
83,0.672,0.328,0
84,0.665,0.335,0
85,0.736,0.264,0
86,0.706,0.294,0
87,0.688,0.312,0
88,0.694,0.306,0
89,0.679,0.321,0
90,0.676,0.324,0
91,0.75,0.25,0
92,0.718,0.282,0
93,0.774,0.226,0
94,0.734,0.266,0
95,0.704,0.296,0
96,0.774,0.226,0
97,0.743,0.257,0
98,0.789,0.211,0
99,0.749,0.251,0
100,0.736,0.264,0
101,0.719,0.281,0
102,0.769,0.231,0
103,0.718,0.282,0
104,0.681,0.319,0
105,0.681,0.319,0
106,0.755,0.245,0
107,0.716,0.284,0
108,0.695,0.305,0
109,0.672,0.328,0
